# 11
    542.68701172      755.34130859
    430.59115601      848.25598145      149.92666626
    118.54701996      485.69161987      345.72052002
    603.56500244      419.24249268      677.78173828
    238.22891235      860.56909180      162.16331482
     18.50157928      420.96548462      238.32351685
    789.47192383      775.50231934      444.31579590
    985.52093506      344.36367798      454.63406372
    585.09259033      353.07250977      663.42797852
    204.54412842      399.80422974      926.34954834
    922.51190186      180.64785767
